Datetime,Temperature,Humidity,Zephyr,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption
1/1/2017 0:00,6.559,73.8,0.083,0.051,0.119,34055.6962
1/1/2017 0:20,6.313,74.5,0.08,0.062,0.1,29128.10127
1/1/2017 0:40,5.921,75.7,0.081,0.048,0.085,27335.6962
1/1/2017 1:00,5.641,77.7,0.08,0.048,0.096,25998.98734
1/1/2017 1:20,5.678,78.1,0.081,0.066,0.141,24777.72152
1/1/2017 1:40,5.516,77.5,0.081,0.051,0.108,23896.70886
1/1/2017 2:00,5.059,78.6,0.081,0.07,0.096,23003.5443
1/1/2017 2:20,4.975,78.9,0.083,0.055,0.152,22092.1519
1/1/2017 2:40,5.02,79.7,0.081,0.051,0.134,21685.06329
1/1/2017 3:00,5.169,77.9,0.083,0.066,0.108,21107.8481
1/1/2017 3:20,5.041,77.2,0.081,0.062,0.152,20870.88608
1/1/2017 3:40,4.896,76.6,0.085,0.07,0.137,20597.46835
1/1/2017 4:00,4.753,75.7,0.083,0.044,0.134,20524.55696
1/1/2017 4:20,5.203,74.1,0.085,0.062,0.096,20530.63291
1/1/2017 4:40,5.156,74.0,0.079,0.062,0.148,20494.17722
1/1/2017 5:00,4.934,72.9,0.082,0.055,0.134,20542.78481
1/1/2017 5:20,5.546,74.0,0.082,0.055,0.093,20627.8481
1/1/2017 5:40,4.382,76.9,0.081,0.073,0.148,20858.73418
1/1/2017 6:00,4.308,77.2,0.081,0.062,0.126,22219.74684
1/1/2017 6:20,4.769,75.6,0.082,0.099,0.063,21776.20253
1/1/2017 6:40,4.408,76.7,0.082,0.037,0.119,21466.32911
1/1/2017 7:00,4.304,76.0,0.082,0.048,0.152,19983.79747
1/1/2017 7:20,4.489,74.3,0.082,0.081,0.119,18167.08861
1/1/2017 7:40,4.478,72.2,0.083,0.073,0.089,18063.79747
1/1/2017 8:00,4.794,72.0,0.084,0.187,0.145,18385.82278
1/1/2017 8:20,4.757,73.5,0.083,3.188,3.134,19576.70886
1/1/2017 8:40,4.346,74.8,0.082,12.64,10.13,20166.07595
1/1/2017 9:00,4.704,71.8,0.083,82.5,20.15,21296.20253
1/1/2017 9:20,4.629,74.8,0.083,132.1,24.3,22651.13924
1/1/2017 9:40,4.524,74.7,0.081,182.4,28.19,23641.51899
1/1/2017 10:00,5.124,73.7,0.076,234.8,29.23,25275.94937
1/1/2017 10:20,5.996,69.85,4.93,282.7,31.96,26393.92405
1/1/2017 10:40,6.703,68.01,4.923,327.6,33.22,27511.89873
1/1/2017 11:00,7.54,64.21,4.916,371.1,33.43,28714.93671
1/1/2017 11:20,9.49,59.3,2.451,401.3,34.4,29261.77215
1/1/2017 11:40,11.06,53.52,0.082,430.9,37.58,29523.03797
1/1/2017 12:00,13.08,54.36,0.077,450.4,43.2,29644.55696
1/1/2017 12:20,15.02,56.46,0.074,480.0,38.81,29887.59494
1/1/2017 12:40,15.56,59.23,0.076,490.2,40.92,29966.58228
1/1/2017 13:00,15.57,58.06,0.077,498.1,40.94,30258.22785
1/1/2017 13:20,15.73,59.33,0.076,498.8,44.65,30094.17722
1/1/2017 13:40,15.7,55.29,0.074,489.2,39.32,30318.98734
1/1/2017 14:00,15.83,54.99,0.079,476.1,39.49,29984.81013
1/1/2017 14:20,15.72,55.86,0.077,456.1,39.95,30021.26582
1/1/2017 14:40,15.74,55.56,0.075,437.4,44.13,29747.8481
1/1/2017 15:00,15.64,57.26,0.077,409.0,44.9,29571.64557
1/1/2017 15:20,15.69,58.93,0.075,369.4,51.51,29383.29114
1/1/2017 15:40,15.39,57.6,0.075,180.3,60.31,28885.06329
1/1/2017 16:00,15.33,59.23,0.077,209.1,128.9,28836.4557
1/1/2017 16:20,15.54,58.3,0.076,241.3,246.0,28556.96203
1/1/2017 16:40,15.48,57.73,0.075,195.7,231.6,28666.32911
1/1/2017 17:00,15.44,59.07,0.076,165.8,201.7,29723.5443
1/1/2017 17:20,15.34,59.0,0.079,117.4,144.3,32700.75949
1/1/2017 17:40,14.93,60.83,0.077,76.5,94.0,38321.01266
1/1/2017 18:00,14.48,63.27,0.08,18.0,18.29,39560.50633
1/1/2017 18:20,14.09,64.87,0.078,2.818,2.763,39596.96203
